ID,社名（日本語）,社名（英語）,都道府県,地域,カテゴリ,説明（日本語）,説明（英語）,公式URL,従業員数,資本金（万円）,公式サイト確認
hk001,六花亭製菓,Rokkatei Confectionery,北海道,北海道,食品・調味料,マルセイバターサンドで知られる老舗菓子,Heritage confectioner famed for Marusei butter sand,https://www.rokkatei.co.jp/,,,確認済み
hk002,ロイズコンフェクト,Royce' Confect,北海道,北海道,食品・調味料,生チョコレート発祥のショコラティエ,Chocolatier behind Japan's nama-chocolate,https://www.royce.com/,,,確認済み
hk003,よつ葉乳業,Yotsuba Milk Products,北海道,北海道,食品・調味料,北海道産生乳100%の乳製品メーカー,Dairy maker using 100% Hokkaido milk,https://www.yotsuba.co.jp/,,,
hk004,白い恋人パーク（石屋製菓）,Ishiya Confectionery,北海道,北海道,食品・調味料,白い恋人を製造する札幌の菓子メーカー,Sapporo confectioner of Shiroi Koibito,https://www.ishiya.co.jp/,,,確認済み
hk005,昆布森,Konbumori,北海道,北海道,食品・調味料,釧路産の天然昆布専門メーカー,Kushiro-based natural kelp specialist,,,,
hk006,福山醸造,Fukuyama Brewing,北海道,北海道,食品・調味料,札幌の老舗醤油・味噌メーカー,Long-established Sapporo soy sauce maker,https://www.tomoechan.co.jp/,,,確認済み
hk008,佐藤水産,Sato Suisan,北海道,北海道,食品・調味料,石狩・札幌の鮭製品の老舗,Long-standing salmon products maker,https://www.sato-suisan.co.jp/,,,確認済み
hk009,北菓楼,Kitakaro,北海道,北海道,食品・調味料,バウムクーヘン・シュークリームの菓子メーカー,Confectioner of baumkuchen & cream puffs,https://www.kitakaro.com/,,,確認済み
hk010,きのとや,Kinotoya,北海道,北海道,食品・調味料,札幌生まれの焼きたてチーズタルト,Sapporo-born baked cheese tart maker,https://www.kinotoya.com/,,,確認済み
hk011,北海道ワイン,Hokkaido Wine,北海道,北海道,酒造,小樽の地ワインメーカー、ナイヤガラ品種,"Otaru winery, known for Niagara grapes",https://www.hokkaidowine.com/,,,確認済み
hk012,千歳鶴 (日本清酒),Nihon Seishu (Chitosetsuru),北海道,北海道,酒造,札幌唯一の蔵元・千歳鶴ブランド,"Sapporo's sole sake brewery, Chitosetsuru",https://www.nipponseishu.co.jp/,,,確認済み
hk013,男山酒造,Otokoyama Brewery,北海道,北海道,酒造,旭川の地酒蔵、寒造りの淡麗辛口,"Asahikawa sake brewer, dry winter brew",https://www.otokoyama.com/,,,確認済み
hk014,高砂酒造,Takasago Brewery,北海道,北海道,酒造,旭川の老舗酒蔵、国士無双ブランド,"Asahikawa brewery, Kokushi Musou label",https://www.takasagoshuzo.com/,,,確認済み
hk015,国稀酒造,Kunimare Brewery,北海道,北海道,酒造,増毛の最北の蔵元,"Mashike, Japan's northernmost sake brewer",https://www.kunimare.co.jp/,,,確認済み
hk016,上川大雪酒造,Kamikawa Taisetsu,北海道,北海道,酒造,上川町の小規模蔵、限定流通,Small-batch brewer in Kamikawa town,https://kamikawa-taisetsu.co.jp/,,,確認済み
hk020,ノースファーム,North Farm Stock,北海道,北海道,食品・調味料,岩見沢のジャム・ドレッシングメーカー,Iwamizawa jam & dressing maker,https://www.northfarmstock.com/,,,確認済み
hk023,旭川家具クラフト,Asahikawa Furniture Craft,北海道,北海道,木工・家具,旭川家具工業共同組合の地場メーカー,Asahikawa furniture industry maker,https://asahikawa-kagu.or.jp/,,,
hk024,カンディハウス,Conde House,北海道,北海道,木工・家具,旭川発の高品質木製家具,Asahikawa premium wooden furniture,https://www.condehouse.co.jp/,,,確認済み
hk026,北の住まい設計社,Kita no Sumai Sekkeisha,北海道,北海道,木工・家具,東川町のオーダー家具・木製キッチン,Higashikawa custom wood furniture,https://www.kitanosumai-sekkeisha.com/,,,確認済み
hk029,アミノアップ,Amino Up,北海道,北海道,サプリ・健康食品,江別市の機能性健康食品メーカー,Ebetsu functional health food maker,https://www.aminoup.co.jp/,,,確認済み
am002,津軽びいどろ (北洋硝子),Hokuyo Glass (Tsugaru Vidro),青森,東北,硝子・陶磁器,青森の伝統的なびいどろガラス,Aomori traditional vidro glassware,https://tsugaruvidro.jp/,,,確認済み
am005,シャイニー (青森県農協),Shiny Apple,青森,東北,食品・調味料,県農協のりんごジュース,Apple juice from Aomori farmers' co-op,https://www.shinyapple.jp/,,,確認済み
am006,カネショウ,Kaneshou,青森,東北,食品・調味料,弘前のりんご酢専門メーカー,Hirosaki apple vinegar specialist,https://kaneshou.co.jp/,,,確認済み
am007,八戸缶詰,Hachinohe Canning,青森,東北,食品・調味料,八戸の鯖缶・海産缶詰,Hachinohe mackerel & seafood canning,https://www.hachikan.co.jp/,,,
am008,八戸酒造,Hachinohe Brewery,青森,東北,酒造,陸奥八仙の蔵元,Mutsu Hassen sake brewery,https://hachinohe-shuzo.com/,,,確認済み
am009,西田酒造店,Nishida Sake Brewery,青森,東北,酒造,青森の田酒で知られる蔵元,Aomori brewer of Denshu sake,https://www.densyu.co.jp/,,,確認済み
am010,鳩正宗,Hatomasamune,青森,東北,酒造,十和田の地酒蔵,Towada local sake brewery,https://www.hatomasa.jp/,,,確認済み
am011,六花酒造,Rokka Brewery,青森,東北,酒造,じょっぱりブランドの蔵元,Maker of Joppari sake,https://rokkashuzo.com/,,,確認済み
am014,南部裂織保存会,Nanbu Sakiori,青森,東北,アパレル・繊維,南部の裂織織物工房,Nanbu rag-weaving workshop,https://sakiori.jp/,,,
am016,あおもり藍,Aomori Ai,青森,東北,アパレル・繊維,青森産藍染め製品,Aomori indigo dye products,https://www.aomoriai.com/,,,確認済み
iw001,及富 (南部鉄器),Oitomi Nanbu Tekki,岩手,東北,刃物・金物,奥州市の南部鉄器老舗,Long-established Nanbu ironware,https://oitomi.jp/,,,確認済み
iw002,岩鋳,Iwachu,岩手,東北,刃物・金物,盛岡の南部鉄器メーカー,Morioka Nanbu ironware maker,https://www.iwachu.co.jp/,,,確認済み
iw003,釜定,Kamasada,岩手,東北,刃物・金物,盛岡の南部鉄器デザイン工房,Morioka Nanbu ironware design atelier,,,,確認済み
iw004,OIGEN,OIGEN (Oitomi),岩手,東北,刃物・金物,南部鉄器をモダンデザインに展開,Modern Nanbu ironware brand,https://oigen.jp/,,,確認済み
iw005,鈴木盛久工房,Suzuki Morihisa,岩手,東北,刃物・金物,江戸期から続く南部鉄器の名門,Edo-period Nanbu ironware lineage,https://suzukimorihisa.com/,,,確認済み
iw006,岩手南部鉄器協同組合,Iwate Nanbu Tekki Coop,岩手,東北,刃物・金物,岩手の鉄器組合・伝統工芸,Iwate ironware cooperative,https://www.ginga.or.jp/nanbu/,,,
iw007,わんこそば老舗 東家,Azumaya Wanko Soba,岩手,東北,食品・調味料,盛岡わんこそばの老舗,Heritage Morioka wanko soba,https://wankosoba.jp/,,,確認済み
iw009,南部美人,Nanbu Bijin,岩手,東北,酒造,二戸の海外輸出も盛んな酒蔵,"Ninohe sake brewery, strong export",https://www.nanbubijin.co.jp/,,,確認済み
iw010,あさ開,Asabiraki,岩手,東北,酒造,盛岡の老舗酒蔵,Long-established Morioka brewery,https://www.asabiraki-net.jp/,,,確認済み
iw011,菊の司酒造,Kiku no Tsukasa,岩手,東北,酒造,岩手の老舗酒蔵,Long-established Iwate brewery,https://kikunotsukasa.jp/,,,確認済み
iw012,わしの尾,Washi no O,岩手,東北,酒造,八幡平の地酒蔵,Hachimantai local sake brewery,http://www.washinoo.co.jp/,,,確認済み
iw013,岩泉乳業,Iwaizumi Dairy,岩手,東北,食品・調味料,岩泉ヨーグルトで知られる乳業,Maker of Iwaizumi yogurt,https://iwaizumi-milk.co.jp/,,,確認済み
iw015,南部箒工房 高倉,Takakura Nanbu Broom,岩手,東北,伝統工芸,九戸の南部箒の伝統工芸,Kunohe traditional broom craft,https://nanbuhouki.jp/,,,
iw020,花巻織物,Hanamaki Textile,岩手,東北,アパレル・繊維,花巻のホームスパン織,Hanamaki homespun textile,https://www.homespun.co.jp/,,,
mg004,佐々重 (味噌),Sasaju Miso,宮城,東北,食品・調味料,仙台味噌の老舗,Heritage Sendai miso brewer,https://www.sasaju.co.jp/,,,確認済み
mg005,阿部蒲鉾店,Abe Kamaboko,宮城,東北,食品・調味料,仙台笹蒲鉾の代表メーカー,Famous Sendai sasa-kamaboko maker,https://www.abekama.co.jp/,,,確認済み
mg006,白謙蒲鉾店,Shiraken Kamaboko,宮城,東北,食品・調味料,石巻の蒲鉾老舗,Heritage Ishinomaki kamaboko,https://www.shiraken.co.jp/,,,
mg007,鐘崎 (笹かまぼこ),Kanezaki Kamaboko,宮城,東北,食品・調味料,仙台かまぼこの里,Sendai kamaboko factory tour brand,https://www.kanezaki.co.jp/,,,確認済み
mg008,一ノ蔵,Ichinokura,宮城,東北,酒造,宮城を代表する地酒蔵,Representative Miyagi sake brewer,https://www.ichinokura.co.jp/,,,確認済み
mg009,浦霞 (佐浦),Urakasumi (Saura),宮城,東北,酒造,塩釜の老舗酒蔵,Shiogama heritage sake brewer,https://www.urakasumi.com/,,,確認済み
mg010,日高見 (平孝酒造),Hirakou Brewery (Hidakami),宮城,東北,酒造,石巻の地酒、日高見ブランド,"Ishinomaki brewer, Hidakami label",https://hirakoushuzou.co.jp/,,,確認済み
